%Prune,Clusters,Accuracy,Size,Time
0.1,4,97.50418066978455,147839,0.0006604623475423155
0.1,8,97.05800414085388,192907,0.0006596254225356979
0.1,16,97.55995273590088,225297,0.0007465761331493338
0.1,32,98.39653968811035,230303,0.000987416329625859
0.5,4,96.34690284729004,142767,0.0006549538544816008
0.5,8,98.87060523033142,161662,0.0006946986172362804
0.5,16,99.41439032554626,190944,0.0008289247202726961
0.5,32,99.52593445777893,233371,0.0009700539254370975
0.75,4,97.08588719367981,99210,0.0006443551314056617
0.75,8,96.59788012504578,112562,0.0006853551486983887
0.75,16,97.58784174919128,115225,0.0007631016788174172
0.75,32,97.35080599784851,127940,0.0010550522099509296
0.9,4,94.12994980812073,57310,0.000697557479392465
0.9,8,94.4366991519928,68508,0.0007297717786938933
0.9,16,94.65978741645813,74270,0.0008241134652596775
0.9,32,95.31511664390564,76928,0.001039572687569239
0.95,4,89.15225863456726,38009,0.0006670864081821558
0.95,8,88.05075287818909,44695,0.0007167325562361692
0.95,16,85.90351343154907,47874,0.0007984536823053567
0.95,32,88.76185417175293,53226,0.0010221406393588353
